order,source_types,link_texts,input_url,final_url,title,screenshot_file,status,error
1,inline,atherosclerosis,https://www.heart.org/en/health-topics/cholesterol/about-cholesterol/atherosclerosis,https://www.heart.org/en/health-topics/cholesterol/about-cholesterol/atherosclerosis,What is Atherosclerosis? | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/01__heart-org-en-health-topics-cholesterol-about-cholesterol-atherosclerosis.png,ok,
2,inline,heart attack,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,What is a Heart Attack? | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/02__heart-org-en-health-topics-heart-attack-about-heart-attacks.png,ok,
3,sidebar,High Blood Pressure,https://www.heart.org/en/health-topics/high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure,High Blood Pressure  | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/03__heart-org-en-health-topics-high-blood-pressure.png,ok,
4,inline|sidebar,How to Manage High Blood Pressure | Make lifestyle changes to lower your blood pressure. | Healthy lifestyle choices,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure,How to Manage High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/04__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure.png,ok,
5,sidebar,Getting Active,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/getting-active-to-control-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/getting-active-to-control-high-blood-pressure,Getting Active to Control High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/05__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-getting-active-to-cont.png,ok,
6,sidebar,Potassium Benefits,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/how-potassium-can-help-control-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/how-potassium-can-help-control-high-blood-pressure,How Potassium Can Help Prevent or Treat High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/06__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-how-potassium-can-help.png,ok,
7,sidebar,Limiting or Avoiding Alcohol,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/limiting-alcohol-to-manage-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/limiting-alcohol-to-manage-high-blood-pressure,Limiting or Avoiding Alcohol to Manage High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/07__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-limiting-alcohol-to-ma.png,ok,
8,sidebar,Healthy Diet,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-blood-pressure-with-a-heart-healthy-diet,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-blood-pressure-with-a-heart-healthy-diet,Managing Blood Pressure with a Heart-Healthy Diet | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/08__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-managing-blood-pressur.png,ok,
9,sidebar,Managing Medications,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-high-blood-pressure-medications,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-high-blood-pressure-medications,Managing High Blood Pressure Medications | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/09__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-managing-high-blood-pr.png,ok,
10,sidebar,Managing Stress,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-stress-to-control-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-stress-to-control-high-blood-pressure,Managing Stress to Control High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/10__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-managing-stress-to-con.png,ok,
11,sidebar,Managing Weight,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-weight-to-control-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-weight-to-control-high-blood-pressure,Managing Weight to Control High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/11__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-managing-weight-to-con.png,ok,
12,sidebar,Shaking the Salt Habit,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/shaking-the-salt-habit-to-lower-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/shaking-the-salt-habit-to-lower-high-blood-pressure,Shaking the Salt Habit to Lower High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/12__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-shaking-the-salt-habit.png,ok,
13,sidebar,Smoking,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/smoking-high-blood-pressure-and-your-health,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/smoking-high-blood-pressure-and-your-health,Smoking and High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/13__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-smoking-high-blood-pre.png,ok,
14,inline|sidebar,Types of Medications | Learn about blood pressure-lowering medications.,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/types-of-blood-pressure-medications,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/types-of-blood-pressure-medications,Types of Blood Pressure Medications | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/14__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-types-of-blood-pressur.png,ok,
15,inline|sidebar,Your Health Care Team | Work with your health care team to manage your blood pressure.,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/your-health-care-team,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/your-health-care-team,Your Health Care Team | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/15__heart-org-en-health-topics-high-blood-pressure-changes-you-can-make-to-manage-high-blood-pressure-your-health-care-team.png,ok,
16,sidebar,Find High BP Tools and Resources,https://www.heart.org/en/health-topics/high-blood-pressure/find-high-blood-pressure-tools--resources,https://www.heart.org/en/health-topics/high-blood-pressure/find-high-blood-pressure-tools--resources,Find High Blood Pressure Tools and Resources | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/16__heart-org-en-health-topics-high-blood-pressure-find-high-blood-pressure-tools-resources.png,ok,
17,sidebar,Blood Pressure Health Lesson,https://www.heart.org/en/health-topics/high-blood-pressure/find-high-blood-pressure-tools--resources/high-blood-pressure-health-lesson,https://www.heart.org/en/health-topics/high-blood-pressure/find-high-blood-pressure-tools--resources/high-blood-pressure-health-lesson?Page=1,Do It Yourself Health Lesson: Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/17__heart-org-en-health-topics-high-blood-pressure-find-high-blood-pressure-tools-resources-high-blood-pressure-health-lesso.png,ok,
18,inline|sidebar,Health Threats from High BP | health threats,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure,Health Threats from High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/18__heart-org-en-health-topics-high-blood-pressure-health-threats-from-high-blood-pressure.png,ok,
19,sidebar,High BP and Your Kidneys,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/high-blood-pressure-and-your-kidneys,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/high-blood-pressure-and-your-kidneys,High Blood Pressure and Your Kidneys | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/19__heart-org-en-health-topics-high-blood-pressure-health-threats-from-high-blood-pressure-high-blood-pressure-and-your-kidn.png,ok,
20,sidebar,How High BP Can Affect Your Sex Life,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/how-high-blood-pressure-can-affect-your-sex-life,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/how-high-blood-pressure-can-affect-your-sex-life,How High Blood Pressure Can Affect Your Sex Life | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/20__heart-org-en-health-topics-high-blood-pressure-health-threats-from-high-blood-pressure-how-high-blood-pressure-can-affec.png,ok,
21,inline|sidebar,How High BP Can Lead to a Heart Attack | heart attack,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/how-high-blood-pressure-can-lead-to-a-heart-attack,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/how-high-blood-pressure-can-lead-to-a-heart-attack,How High Blood Pressure Can Lead to a Heart Attack | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/21__heart-org-en-health-topics-high-blood-pressure-health-threats-from-high-blood-pressure-how-high-blood-pressure-can-lead-.png,ok,
22,sidebar,How High BP Can Lead to Heart Failure,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/how-high-blood-pressure-can-lead-to-heart-failure,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/how-high-blood-pressure-can-lead-to-heart-failure,How High Blood Pressure Can Lead to Heart Failure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/22__heart-org-en-health-topics-high-blood-pressure-health-threats-from-high-blood-pressure-how-high-blood-pressure-can-lead-.png,ok,
23,inline|sidebar,How High BP Can Lead to Stroke | stroke,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/how-high-blood-pressure-can-lead-to-stroke,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/how-high-blood-pressure-can-lead-to-stroke,How High Blood Pressure Can Lead to Stroke | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/23__heart-org-en-health-topics-high-blood-pressure-health-threats-from-high-blood-pressure-how-high-blood-pressure-can-lead-.png,ok,
24,sidebar,How High BP Can Lead to Vision Loss,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/how-high-blood-pressure-can-lead-to-vision-loss,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/how-high-blood-pressure-can-lead-to-vision-loss,How High Blood Pressure Can Lead to Vision Loss | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/24__heart-org-en-health-topics-high-blood-pressure-health-threats-from-high-blood-pressure-how-high-blood-pressure-can-lead-.png,ok,
25,inline|sidebar,Know Your Risk Factors | raise your risk,https://www.heart.org/en/health-topics/high-blood-pressure/know-your-risk-factors-for-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/know-your-risk-factors-for-high-blood-pressure,Know Your Risk Factors for High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/25__heart-org-en-health-topics-high-blood-pressure-know-your-risk-factors-for-high-blood-pressure.png,ok,
26,sidebar,High Blood Pressure Among Black Adults,https://www.heart.org/en/health-topics/high-blood-pressure/know-your-risk-factors-for-high-blood-pressure/high-blood-pressure-among-black-adults,https://www.heart.org/en/health-topics/high-blood-pressure/know-your-risk-factors-for-high-blood-pressure/high-blood-pressure-among-black-adults,High Blood Pressure Among Black Adults | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/26__heart-org-en-health-topics-high-blood-pressure-know-your-risk-factors-for-high-blood-pressure-high-blood-pressure-among-.png,ok,
27,sidebar,High Blood Pressure in Children and Teens,https://www.heart.org/en/health-topics/high-blood-pressure/know-your-risk-factors-for-high-blood-pressure/high-blood-pressure-in-children,https://www.heart.org/en/health-topics/high-blood-pressure/know-your-risk-factors-for-high-blood-pressure/high-blood-pressure-in-children,High Blood Pressure in Children and Teens | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/27__heart-org-en-health-topics-high-blood-pressure-know-your-risk-factors-for-high-blood-pressure-high-blood-pressure-in-chi.png,ok,
28,inline|sidebar,Symptoms of High Blood Pressure | symptoms,https://www.heart.org/en/health-topics/high-blood-pressure/know-your-risk-factors-for-high-blood-pressure/what-are-the-symptoms-of-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/know-your-risk-factors-for-high-blood-pressure/what-are-the-symptoms-of-high-blood-pressure,What are the Signs and Symptoms of High Blood Pressure? | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/28__heart-org-en-health-topics-high-blood-pressure-know-your-risk-factors-for-high-blood-pressure-what-are-the-symptoms-of-h.png,ok,
29,inline|sidebar,What is High Blood Pressure?,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure,What is High Blood Pressure? | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/29__heart-org-en-health-topics-high-blood-pressure-the-facts-about-high-blood-pressure.png,ok,
30,sidebar,All About Heart Rate,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure/all-about-heart-rate-pulse,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure/all-about-heart-rate-pulse,All About Heart Rate | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/30__heart-org-en-health-topics-high-blood-pressure-the-facts-about-high-blood-pressure-all-about-heart-rate-pulse.png,ok,
31,sidebar,Common High BP Myths,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure/common-high-blood-pressure-myths,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure/common-high-blood-pressure-myths,Common High Blood Pressure Myths | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/31__heart-org-en-health-topics-high-blood-pressure-the-facts-about-high-blood-pressure-common-high-blood-pressure-myths.png,ok,
32,sidebar,High BP Top 10,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure/high-bp-top-10,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure/high-bp-top-10,Top 10 Things to Know About the AHA/ACC High Blood Pressure Guideline | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/32__heart-org-en-health-topics-high-blood-pressure-the-facts-about-high-blood-pressure-high-bp-top-10.png,ok,
33,sidebar,Low Blood Pressure,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure/low-blood-pressure-when-blood-pressure-is-too-low,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure/low-blood-pressure-when-blood-pressure-is-too-low,Low Blood Pressure - When Blood Pressure Is Too Low | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/33__heart-org-en-health-topics-high-blood-pressure-the-facts-about-high-blood-pressure-low-blood-pressure-when-blood-pressur.png,ok,
34,sidebar,Pulmonary Hypertension,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure/pulmonary-hypertension-high-blood-pressure-in-the-heart-to-lung-system,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure/pulmonary-hypertension-high-blood-pressure-in-the-heart-to-lung-system,Pulmonary Hypertension – High Blood Pressure in the Heart-to-Lung System | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/34__heart-org-en-health-topics-high-blood-pressure-the-facts-about-high-blood-pressure-pulmonary-hypertension-high-blood-pre.png,ok,
35,sidebar,Resistant Hypertension,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure/resistant-hypertension--high-blood-pressure-thats-hard-to-treat,https://www.heart.org/en/health-topics/high-blood-pressure/the-facts-about-high-blood-pressure/resistant-hypertension--high-blood-pressure-thats-hard-to-treat,High Blood Pressure That's Hard to Treat | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/35__heart-org-en-health-topics-high-blood-pressure-the-facts-about-high-blood-pressure-resistant-hypertension-high-blood-pre.png,ok,
36,inline|sidebar,Understanding Blood Pressure Readings | your blood pressure numbers and what they mean | blood pressure reading,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings,Understanding Blood Pressure Readings | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/36__heart-org-en-health-topics-high-blood-pressure-understanding-blood-pressure-readings.png,ok,
37,sidebar,Home Blood Pressure Monitoring,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings/monitoring-your-blood-pressure-at-home,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings/monitoring-your-blood-pressure-at-home,Home Blood Pressure Monitoring | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/37__heart-org-en-health-topics-high-blood-pressure-understanding-blood-pressure-readings-monitoring-your-blood-pressure-at-h.png,ok,
38,inline|sidebar,When To Call 911 | HYPERTENSIVE EMERGENCY | Learn about hypertensive emergency.,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings/when-to-call-911-for-high-blood-pressure,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings/when-to-call-911-for-high-blood-pressure,When To Call 911 About High Blood Pressure | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/38__heart-org-en-health-topics-high-blood-pressure-understanding-blood-pressure-readings-when-to-call-911-for-high-blood-pre.png,ok,
39,inline,Get regular physical activity.,https://www.heart.org/en/healthy-living/fitness/getting-active,https://www.heart.org/en/healthy-living/fitness/getting-active,Getting Active | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/39__heart-org-en-healthy-living-fitness-getting-active.png,ok,
40,inline,Follow a heart-healthy eating plan.,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart,Eat Smart | American Heart Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/40__heart-org-en-healthy-living-healthy-eating-eat-smart.png,ok,
41,inline,stroke,https://www.stroke.org/en/about-stroke/types-of-stroke,https://www.stroke.org/en/about-stroke/types-of-stroke,Types of Stroke and Treatment | American Stroke Association,reference/evidence/screenshots/aha-high-blood-pressure-topic-network-2026-04-20/41__stroke-org-en-about-stroke-types-of-stroke.png,ok,
